#flows,epsilon,is_correlated,key,count_chern,byte_chern,class
800,0.01,0,2_0_0_3-2_1_0_3,0.605736449007,0.354755686511,-1
1100,0.01,1,2_0_1_0-2_1_1_0,4.08943703266e-07,0.000139164773783,1
1100,0.01,1,2_0_1_3-2_1_1_3,3.92196051787e-06,1.40020422323e-06,1
1100,0.01,1,2_0_0_0-2_1_0_0,4.34768601488e-09,3.27692764493e-09,1
1100,0.01,1,2_0_0_2-2_1_0_2,5.40164565468e-05,0.0136804985751,1
1100,0.01,1,2_0_0_1-2_1_0_1,4.16271630601e-11,3.87226746314e-11,1
1100,0.01,1,2_0_1_1-2_1_1_1,0.019806644831,0.0796911044699,-1
1100,0.01,1,2_0_1_2-2_1_1_2,0.000205054918684,0.000211005737894,1
1100,0.01,1,2_0_0_3-2_1_0_3,5.49038746608e-05,0.000824251461041,1
1100,0.01,0,2_0_1_0-2_1_1_0,0.123498330531,0.0710112229865,-1
1100,0.01,0,2_0_1_3-2_1_1_3,0.183254835859,0.145036691087,-1
1100,0.01,0,2_0_0_0-2_1_0_0,0.093617025697,0.0336544941572,-1
1100,0.01,0,2_0_0_2-2_1_0_2,0.0131949309975,0.00365033556276,0
1100,0.01,0,2_0_0_1-2_1_0_1,0.00971894801108,0.00127131835666,1
1100,0.01,0,2_0_1_1-2_1_1_1,0.682815647063,0.860485027059,-1
1100,0.01,0,2_0_1_2-2_1_1_2,0.263859159061,0.279241926719,-1
1100,0.01,0,2_0_0_3-2_1_0_3,0.0599256496173,0.0291951501218,-1
1400,0.01,1,2_0_1_0-2_1_1_0,8.1552055996e-05,0.00652726637731,1
1400,0.01,1,2_0_1_3-2_1_1_3,2.95898103375e-07,6.46938798282e-07,1
1400,0.01,1,2_0_0_0-2_1_0_0,1.50144917871e-12,2.32943651403e-13,1
1400,0.01,1,2_0_0_2-2_1_0_2,0.000163842180381,0.00113466641815,1
1400,0.01,1,2_0_0_1-2_1_0_1,1.67950328788e-07,3.90727057947e-08,1
1400,0.01,1,2_0_1_1-2_1_1_1,0.0100740795716,0.0451516457341,-1
1400,0.01,1,2_0_1_2-2_1_1_2,0.00019461520842,0.000310824532954,1
1400,0.01,1,2_0_0_3-2_1_0_3,5.75187122141e-05,0.00222727214869,1
1400,0.01,0,2_0_1_0-2_1_1_0,0.183135416583,0.162284462732,-1
1400,0.01,0,2_0_1_3-2_1_1_3,0.0661170621712,0.0297799847424,-1
1400,0.01,0,2_0_0_0-2_1_0_0,0.18966734418,0.119358705198,-1
1400,0.01,0,2_0_0_2-2_1_0_2,0.586887122398,0.566821760283,-1
1400,0.01,0,2_0_0_1-2_1_0_1,0.424855839787,0.126528976295,-1
1400,0.01,0,2_0_1_1-2_1_1_1,0.471439058647,0.19393309973,-1
1400,0.01,0,2_0_1_2-2_1_1_2,0.879041555155,0.9962649731,-1
1400,0.01,0,2_0_0_3-2_1_0_3,0.57350314486,0.634344812305,-1
1700,0.01,1,2_0_1_0-2_1_1_0,6.05506603614e-05,0.00352610808733,1
1700,0.01,1,2_0_1_3-2_1_1_3,1.8448087516e-08,5.03625807427e-08,1
1700,0.01,1,2_0_0_0-2_1_0_0,8.76967715649e-11,4.22569855604e-11,1
1700,0.01,1,2_0_0_2-2_1_0_2,0.00105937642504,0.0115178170648,1
1700,0.01,1,2_0_0_1-2_1_0_1,1.44114147879e-10,6.40684825322e-10,1
1700,0.01,1,2_0_1_1-2_1_1_1,8.45696589722e-05,0.00978763227258,1
1700,0.01,1,2_0_1_2-2_1_1_2,6.31513559495e-10,1.6140225262e-09,1
1700,0.01,1,2_0_0_3-2_1_0_3,0.0026923987403,0.0407293120043,1
1700,0.01,0,2_0_1_0-2_1_1_0,0.184429064525,0.0597129397062,-1
1700,0.01,0,2_0_1_3-2_1_1_3,0.0965877436712,0.111523486511,-1
1700,0.01,0,2_0_0_0-2_1_0_0,0.324158521972,0.0805922730761,-1
1700,0.01,0,2_0_0_2-2_1_0_2,0.307719735548,0.219331925919,-1
1700,0.01,0,2_0_0_1-2_1_0_1,0.179616158233,0.0761715578348,-1
1700,0.01,0,2_0_1_1-2_1_1_1,0.389317648627,0.198171903818,-1
1700,0.01,0,2_0_1_2-2_1_1_2,0.361815457617,0.504972950728,-1
1700,0.01,0,2_0_0_3-2_1_0_3,0.900258850156,0.575147365792,-1
2000,0.01,1,2_0_1_0-2_1_1_0,3.46067410402e-10,3.9881150118e-06,1
2000,0.01,1,2_0_1_3-2_1_1_3,1.5664066932e-12,1.0528153026e-12,1
2000,0.01,1,2_0_0_0-2_1_0_0,9.20139204622e-15,8.47814373432e-14,1
2000,0.01,1,2_0_0_2-2_1_0_2,3.16124142547e-05,0.00448942229365,1
2000,0.01,1,2_0_0_1-2_1_0_1,9.1934361642e-11,5.04405220641e-10,1
2000,0.01,1,2_0_1_1-2_1_1_1,7.51591234597e-07,0.000232290019304,1
2000,0.01,1,2_0_1_2-2_1_1_2,9.18935556935e-09,5.96510846594e-09,1
2000,0.01,1,2_0_0_3-2_1_0_3,2.900252829e-10,1.12463882809e-07,1
2000,0.01,0,2_0_1_0-2_1_1_0,0.666037097075,0.382147160857,-1
2000,0.01,0,2_0_1_3-2_1_1_3,0.0136308977914,0.00143660367703,0
2000,0.01,0,2_0_0_0-2_1_0_0,0.719509841228,0.361095469483,-1
2000,0.01,0,2_0_0_2-2_1_0_2,0.539173813367,0.479025126703,-1
2000,0.01,0,2_0_0_1-2_1_0_1,0.328763312168,0.101819648736,-1
2000,0.01,0,2_0_1_1-2_1_1_1,0.366916645653,0.277307192078,-1
2000,0.01,0,2_0_1_2-2_1_1_2,0.743911325721,0.562580456848,-1
2000,0.01,0,2_0_0_3-2_1_0_3,0.761871322316,0.892492226428,-1
200,0.01,1,2_0_1_0-2_1_1_0,0.668505756766,0.629057222673,-1
200,0.01,1,2_0_1_3-2_1_1_3,0.0344201253605,0.0335310095124,-1
200,0.01,1,2_0_0_0-2_1_0_0,0.0190168077622,0.0166706332542,-1
200,0.01,1,2_0_0_2-2_1_0_2,0.307543055144,0.186493279079,-1
200,0.01,1,2_0_0_1-2_1_0_1,1.49011611938e-08,1.49011611938e-08,1
200,0.01,1,2_0_1_1-2_1_1_1,0.548266618634,0.530695238422,-1
200,0.01,1,2_0_1_2-2_1_1_2,0.0076294892927,0.00697340355542,1
200,0.01,1,2_0_0_3-2_1_0_3,0.0190168077622,0.0173375785412,-1
200,0.01,0,2_0_1_0-2_1_1_0,0.123317546069,0.132122097103,-1
200,0.01,0,2_0_1_3-2_1_1_3,0.136363736349,0.0962467091617,-1
200,0.01,0,2_0_0_0-2_1_0_0,0.30443634614,0.265879928966,-1
200,0.01,0,2_0_0_2-2_1_0_2,0.145519152286,0.146337934181,-1
200,0.01,0,2_0_0_1-2_1_0_1,0.108669077249,0.154867317317,-1
200,0.01,0,2_0_1_1-2_1_1_1,0.136363736349,0.122048222061,-1
200,0.01,0,2_0_1_2-2_1_1_2,0.603298561199,0.538874660346,-1
200,0.01,0,2_0_0_3-2_1_0_3,0.360813447275,0.318650883855,-1
