#flows,is_correlated,key,count_chern,byte_chern,class
2000,1,s5-s6,0.000117260027072,0.000261883603459,1
2000,1,s3-s4,0.000492780528674,0.000266922627352,1
2500,1,s4-s5,2.42694960887e-05,2.56437128623e-05,1
2500,1,s3-s6,0.00197132718426,0.00827093728982,-1
2500,1,s5-s6,0.000944102733783,0.000684789411993,1
2500,1,s3-s4,0.000706235761509,0.00269186168682,1
3000,1,s4-s5,0.0140067463734,0.0117900000476,-1
3000,1,s3-s6,0.00385298992543,0.00719214974137,-1
3000,1,s5-s6,0.000549892086204,0.00103518359141,1
3000,1,s3-s4,8.49529642936e-06,0.000118265729575,1
3500,1,s4-s5,4.03387182659e-07,1.10300167831e-06,1
3500,1,s3-s6,2.18642331093e-05,2.82111546219e-05,1
3500,1,s5-s6,6.12918324079e-07,7.40811826802e-08,1
3500,1,s3-s4,2.83768478308e-07,9.55896630925e-07,1
4000,1,s4-s5,0.000109154246862,0.000152141326176,1
4000,1,s3-s6,6.98769708214e-10,4.87371447323e-07,1
4000,1,s5-s6,4.93627780316e-06,8.06478138927e-05,1
4000,1,s3-s4,9.99563108953e-07,1.92931313329e-06,1
4500,1,s4-s5,6.12193943973e-07,6.81760065729e-07,1
4500,1,s3-s6,0.000315640848762,0.000487562249628,1
4500,1,s5-s6,1.27966742942e-10,7.82379975049e-10,1
4500,1,s3-s4,1.00315299942e-06,4.67522687282e-05,1
5000,1,s4-s5,3.17387660979e-08,1.97192014228e-07,1
5000,1,s3-s6,4.79331962595e-10,3.06016711928e-08,1
5000,1,s5-s6,6.86212031366e-06,0.000206633592613,1
5000,1,s3-s4,9.0922357017e-07,2.58758574516e-05,1
1500,0,s4-s5,0.132473545019,0.0948455799651,-1
1500,0,s3-s6,0.253047059375,0.0705294624969,-1
1500,0,s5-s6,0.502013673681,0.647959995637,-1
1500,0,s3-s4,0.193297274746,0.249094273494,-1
2000,0,s4-s5,0.414018561732,0.364205430137,-1
2000,0,s3-s6,0.438130708498,0.638747925661,-1
2000,0,s5-s6,0.159288492019,0.120613026098,-1
2000,0,s3-s4,0.161340856698,0.27332182453,-1
2500,0,s4-s5,0.00178380671565,0.00178380671565,-1
2500,0,s3-s6,0.0237572640181,0.0237572640181,-1
2500,0,s5-s6,0.376404719197,0.390374706391,-1
2500,0,s3-s4,0.546012521923,0.469194490783,-1
3000,0,s4-s5,0.280897748607,0.280770718364,-1
3000,0,s3-s6,0.238554521535,0.151065593296,-1
3000,0,s5-s6,0.0560254699682,0.0583765974422,-1
3000,0,s3-s4,0.112365286608,0.178712173069,-1
3500,0,s4-s5,0.288033838372,0.38786685132,-1
3500,0,s3-s6,0.38247104637,0.222871422453,-1
3500,0,s5-s6,0.234756479742,0.241647290092,-1
3500,0,s3-s4,0.257819734014,0.414346027868,-1
4000,0,s4-s5,0.656251253617,0.594093768048,-1
4000,0,s3-s6,0.386456427683,0.285389066055,-1
4000,0,s5-s6,0.113743446294,0.279149386189,-1
4000,0,s3-s4,0.132813308724,0.308426010871,-1
4500,0,s4-s5,0.55169827747,0.367371780176,-1
4500,0,s3-s6,0.136233527469,0.182956199742,-1
4500,0,s5-s6,0.0382996181788,0.0834423323896,-1
4500,0,s3-s4,0.0669887214836,0.295212363747,-1
5000,0,s4-s5,0.169110070891,0.309024754757,-1
5000,0,s3-s6,0.155597820341,0.168241106925,-1
5000,0,s5-s6,0.155597820341,0.280053590211,-1
5000,0,s3-s4,0.171043589045,0.0599765444523,-1
1500,1,s4-s5,0.00253569303072,0.00558855260145,-1
1500,1,s3-s6,0.00940497321598,0.0136787379012,-1
1500,1,s5-s6,0.000260220478063,0.00058555947289,1
1500,1,s3-s4,0.0101805728893,0.00876852726898,-1
2000,1,s4-s5,0.00385950423238,0.0121805166976,-1
2000,1,s3-s6,0.00132310729317,0.00237525572689,-1
2000,1,s5-s6,5.49038746608e-05,1.2080424696e-05,1
2000,1,s3-s4,0.0201479949887,0.018260517436,-1
2500,1,s4-s5,6.08054036298e-06,1.30932017643e-05,1
2500,1,s3-s6,5.51136636769e-06,3.46123583249e-05,1
2500,1,s5-s6,0.000312529944016,0.00277627481444,1
2500,1,s3-s4,7.35434800828e-08,3.67554338192e-07,1
