#flows,epsilon,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
975,0.01,1,4,0,4
975,0.01,0,0,4,4
1025,0.01,1,4,0,4
1025,0.01,0,0,4,4
875,0.01,1,4,0,4
875,0.01,0,0,4,4
925,0.01,1,4,0,4
925,0.01,0,0,4,4
975,0.01,1,4,0,4
975,0.01,0,0,4,4
1025,0.01,1,4,0,4
1025,0.01,0,0,4,4
875,0.01,1,4,0,4
875,0.01,0,0,4,4
925,0.01,1,4,0,4
925,0.01,0,0,4,4
975,0.01,1,4,0,4
975,0.01,0,0,4,4
1025,0.01,1,4,0,4
1025,0.01,0,0,4,4
875,0.01,1,4,0,4
875,0.01,0,0,4,4
925,0.01,1,4,0,4
925,0.01,0,0,4,4
975,0.01,1,4,0,4
975,0.01,0,0,4,4
1025,0.01,1,4,0,4
1025,0.01,0,0,4,4
875,0.01,1,4,0,4
875,0.01,0,0,4,4
925,0.01,1,4,0,4
925,0.01,0,0,4,4
975,0.01,1,4,0,4
975,0.01,0,0,4,4
1025,0.01,1,4,0,4
1025,0.01,0,0,4,4
875,0.01,1,4,0,4
875,0.01,0,0,4,4
925,0.01,1,4,0,4
925,0.01,0,1,3,4
975,0.01,1,4,0,4
975,0.01,0,0,4,4
1025,0.01,1,4,0,4
1025,0.01,0,0,4,4
875,0.01,1,4,0,4
875,0.01,0,1,3,4
925,0.01,1,4,0,4
925,0.01,0,0,4,4
975,0.01,1,4,0,4
975,0.01,0,0,4,4
1025,0.01,1,4,0,4
1025,0.01,0,0,4,4
875,0.01,1,4,0,4
875,0.01,0,1,3,4
925,0.01,1,4,0,4
925,0.01,0,0,4,4
975,0.01,1,4,0,4
975,0.01,0,0,4,4
1025,0.01,1,4,0,4
1025,0.01,0,0,4,4
875,0.01,1,4,0,4
875,0.01,0,0,4,4
925,0.01,1,4,0,4
925,0.01,0,0,4,4
975,0.01,1,4,0,4
975,0.01,0,1,3,4
1025,0.01,1,4,0,4
1025,0.01,0,0,4,4
1075,0.01,1,4,0,4
1075,0.01,0,0,4,4
1125,0.01,1,4,0,4
1125,0.01,0,0,4,4
1175,0.01,1,4,0,4
1175,0.01,0,0,4,4
1225,0.01,1,4,0,4
1225,0.01,0,0,4,4
1075,0.01,1,4,0,4
1075,0.01,0,0,4,4
1125,0.01,1,4,0,4
1125,0.01,0,0,4,4
1175,0.01,1,4,0,4
1175,0.01,0,0,4,4
1225,0.01,1,4,0,4
1225,0.01,0,0,4,4
1075,0.01,1,4,0,4
1075,0.01,0,0,4,4
1125,0.01,1,4,0,4
1125,0.01,0,0,4,4
1175,0.01,1,4,0,4
1175,0.01,0,0,4,4
1225,0.01,1,4,0,4
1225,0.01,0,0,4,4
1075,0.01,1,4,0,4
1075,0.01,0,0,4,4
1125,0.01,1,4,0,4
1125,0.01,0,0,4,4
1175,0.01,1,4,0,4
1175,0.01,0,0,4,4
1225,0.01,1,4,0,4
1225,0.01,0,0,4,4
1075,0.01,1,4,0,4
1075,0.01,0,0,4,4
1125,0.01,1,4,0,4
1125,0.01,0,0,4,4
1175,0.01,1,4,0,4
1175,0.01,0,0,4,4
1225,0.01,1,4,0,4
1225,0.01,0,0,4,4
1075,0.01,1,4,0,4
1075,0.01,0,0,4,4
1125,0.01,1,4,0,4
1125,0.01,0,0,4,4
1175,0.01,1,4,0,4
1175,0.01,0,0,4,4
1225,0.01,1,4,0,4
1225,0.01,0,0,4,4
1075,0.01,1,4,0,4
1075,0.01,0,0,4,4
1125,0.01,1,4,0,4
1125,0.01,0,0,4,4
1175,0.01,1,4,0,4
1175,0.01,0,0,4,4
1225,0.01,1,4,0,4
1225,0.01,0,0,4,4
1075,0.01,1,4,0,4
1075,0.01,0,0,4,4
1125,0.01,1,4,0,4
1125,0.01,0,0,4,4
1175,0.01,1,4,0,4
1175,0.01,0,1,3,4
1225,0.01,1,4,0,4
1225,0.01,0,0,4,4
1075,0.01,1,4,0,4
1075,0.01,0,0,4,4
1125,0.01,1,4,0,4
1125,0.01,0,0,4,4
1175,0.01,1,4,0,4
1175,0.01,0,1,3,4
1225,0.01,1,4,0,4
1225,0.01,0,0,4,4
1075,0.01,1,4,0,4
1075,0.01,0,0,4,4
1125,0.01,1,4,0,4
1125,0.01,0,0,4,4
1175,0.01,1,4,0,4
1175,0.01,0,0,4,4
1225,0.01,1,4,0,4
1225,0.01,0,1,3,4
