#flows,iteration,epsilon,r_threshold,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
800,7,0.001,0.01,-1,0,0,4
600,3,0.001,0.01,0,0,4,4
600,8,0.001,0.01,1,4,0,4
600,3,0.001,0.01,-1,0,0,4
600,8,0.001,0.01,0,0,4,4
700,3,0.001,0.01,1,4,0,4
600,8,0.001,0.01,-1,0,2,4
700,3,0.001,0.01,0,0,4,4
700,8,0.001,0.01,1,4,0,4
700,3,0.001,0.01,-1,0,0,4
700,8,0.001,0.01,0,0,4,4
700,8,0.001,0.01,-1,0,0,4
800,3,0.001,0.01,1,4,0,4
800,8,0.001,0.01,1,4,0,4
800,3,0.001,0.01,0,0,4,4
800,8,0.001,0.01,0,0,4,4
800,3,0.001,0.01,-1,0,0,4
600,4,0.001,0.01,1,4,0,4
800,8,0.001,0.01,-1,0,0,4
600,4,0.001,0.01,0,0,4,4
600,9,0.001,0.01,1,4,0,4
600,4,0.001,0.01,-1,0,0,4
600,9,0.001,0.01,0,0,4,4
700,4,0.001,0.01,1,4,0,4
600,9,0.001,0.01,-1,0,1,4
700,4,0.001,0.01,0,0,4,4
700,9,0.001,0.01,1,4,0,4
700,4,0.001,0.01,-1,0,0,4
700,9,0.001,0.01,0,0,4,4
700,9,0.001,0.01,-1,0,0,4
800,4,0.001,0.01,1,4,0,4
800,9,0.001,0.01,1,4,0,4
800,4,0.001,0.01,0,0,4,4
800,9,0.001,0.01,0,0,4,4
800,4,0.001,0.01,-1,0,0,4
800,9,0.001,0.01,-1,0,1,4
