sampling rate, #flows, detected_cases_web, #flows, detected_cases_hadoop, #flows, detected_cases_cache,,,,,,,,,,,,,,,,,,,,,
,400,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
,600,1,,0,,1,,,,,,,,,,,,,,,,,,,,,
,800,1,,2,,3,,,,,,,,,,,,,,,,,,,,,
,1000,3,,4,,4,,,,,,,,,,,,,,,,,,,,,
,1200,4,,4,,4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.715,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7599776,('**** A,flow_num, time',6032240, 86746.0),,0.7937391839,,,8864168,('**** C,flow_num, time',8916031, 86624.0),,1.0058508593,,7951208,('**** C,flow_num, time',7626542, 86164.0),,0.9591677139
9,8549748,('**** A,flow_num, time',6675155, 86795.0),,0.7807428944,,,9972189,,,,,,,,,8945109,('**** C,flow_num, time',8530565, 86164.0),,0.953656909
10,9499720,('**** A,flow_num, time',7314400, 86795.0),,0.7699595356,,,11080210,,,,,,,,,9939010,('**** C,flow_num, time',9424434, 86164.0),,0.9482266342
11,10449692,('**** A,flow_num, time',7947714, 86795.0),,0.760569211,,,12188231,,,,,,,,,10932911,('**** C,flow_num, time',10308240, 86407.0),,0.9428632502
12,11399664,('**** A,flow_num, time',8575810, 86795.0),,0.7522862077,,,13296252,,,,,,,,,11926812,('**** C,flow_num, time',11182651, 86407.0),,0.9376060426
13,12349636,('**** A,flow_num, time',9206186, 86795.0),,0.7454621335,,,14404273,,,,,,,,,12920713,('**** C,flow_num, time',12048478, 86507.0),,0.9324932765
14,13299608,('**** A,flow_num, time',9821250, 86795.0),,0.7384616148,,,15512294,,,,,,,,,13914614,('**** C,flow_num, time',12902880, 86507.0),,0.9272898264
15,14249580,('**** A,flow_num, time',10430313, 86859.0),,0.7319733634,,,16620315,,,,,,,,,14908515,,,,,,,0.9210604365
16,15199552,('**** A,flow_num, time',11039485, 86859.0),,0.7263033147,,,,,,,,,,,,15902416,,,,,,,0.9154644656
17,16149524,('**** A,flow_num, time',11644788, 86859.0),,0.721060757,,,,,,,,,,,,16896317,,,,,,,0.9098684947
18,17099496,('**** A,flow_num, time',12249963, 86859.0),,0.71639322,,,,,,,,,,,,,,,,,,,0.9042725238
19,18049468,('**** A,flow_num, time',12849224, 86859.0),,0.7118893477,,,,,,,,,,,,,,,,,,,0.8986765529
